/home/sdn/Desktop/2/application/nfv/www.click:37: While initializing 'fr_ext :: FromDevice':
  warning: s7-eth1: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/www.click:39: While initializing 'fr_int :: FromDevice':
  warning: s7-eth2: no IPv4 address assigned
www_c_ip_in1:   84 | 45000054 f8494000 40017a28 6400000a 6400002d 0800a345
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054f920 40004001
www_c_ip_in1:   84 | 45000054 f9204000 40017951 6400000a 6400002d 0800203e
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054f9c4 40004001
www_c_ip_in1:   84 | 45000054 f9c44000 400178ad 6400000a 6400002d 08000a36
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054f9f2 40004001
www_c_ip_in1:   84 | 45000054 f9f24000 4001787f 6400000a 6400002d 0800b412
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fa9d 40004001
www_c_ip_in1:   84 | 45000054 fa9d4000 400177d4 6400000a 6400002d 08006dc4
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fab2 40004001
www_c_ip_in1:   84 | 45000054 fab24000 400177bf 6400000a 6400002d 08003465
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fb53 40004001
www_c_ip_in1:   84 | 45000054 fb534000 4001771e 6400000a 6400002d 08006506
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fb7e 40004001
www_c_ip_in1:   84 | 45000054 fb7e4000 400176f3 6400000a 6400002d 080023ff
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fc60 40004001
www_c_ip_in1:   84 | 45000054 fc604000 40017611 6400000a 6400002d 0800cfc2
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fd1f 40004001
www_c_ip_in1:   84 | 45000054 fd1f4000 40017552 6400000a 6400002d 0800d4bc
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fd4f 40004001
www_c_ip_in1:   84 | 45000054 fd4f4000 40017522 6400000a 6400002d 0800d8b3
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fe42 40004001
www_c_ip_in1:   84 | 45000054 fe424000 4001742f 6400000a 6400002d 080098a0
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054ff13 40004001
www_c_ip_in1:   84 | 45000054 ff134000 4001735e 6400000a 6400002d 0800ba9a
www_ci_2:   98 | 924af404 75540000 00000001 08004500 0054fff6 40004001
www_c_ip_in1:   84 | 45000054 fff64000 4001727b 6400000a 6400002d 08005662
www_ci_2:   98 | 924af404 75540000 00000001 08004500 00540077 40004001
www_c_ip_in1:   84 | 45000054 00774000 400171fb 6400000a 6400002d 0800d15c
www_ci_2:   98 | 924af404 75540000 00000001 08004500 005400f8 40004001
www_c_ip_in1:   84 | 45000054 00f84000 4001717a 6400000a 6400002d 0800ee53
www_ci_2:   98 | 924af404 75540000 00000001 08004500 005401c7 40004001
www_c_ip_in1:   84 | 45000054 01c74000 400170ab 6400000a 6400002d 08004640
www_ci_2:   98 | 924af404 75540000 00000001 08004500 005401cb 40004001
www_c_ip_in1:   84 | 45000054 01cb4000 400170a7 6400000a 6400002d 08000f39
www_ci_2:   98 | 924af404 75540000 00000001 08004500 00540205 40004001
www_c_ip_in1:   84 | 45000054 02054000 4001706d 6400000a 6400002d 08007300
www_ci_2:   98 | 924af404 75540000 00000001 08004500 005402c6 40004001
www_c_ip_in1:   84 | 45000054 02c64000 40016fac 6400000a 6400002d 0800a5f6
www_ci_2:   98 | 924af404 75540000 00000001 08004500 00540371 40004001
www_c_ip_in1:   84 | 45000054 03714000 40016f01 6400000a 6400002d 080077c0
www_ci_2:   98 | 924af404 75540000 00000001 08004500 005403d6 40004001
www_c_ip_in1:   84 | 45000054 03d64000 40016e9c 6400000a 6400002d 0800b361
www_ci_2:   98 | 924af404 75540000 00000001 08004500 005403f3 40004001
www_c_ip_in1:   84 | 45000054 03f34000 40016e7f 6400000a 6400002d 0800d202
www_ci_3:   70 | 33330000 000282ec 4beb8eec 86dd6000 00000010 3afffe80
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
