/home/sdn/Desktop/2/application/nfv/nat.click:43: While initializing 'fr_int :: FromDevice':
  warning: s10-eth2: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/nat.click:41: While initializing 'fr_ext :: FromDevice':
  warning: s10-eth1: no IPv4 address assigned
nat_ci_3:  107 | 33330000 00fb3a30 482f73e0 86dd6001 a9e50035 11fffe80
nat_ci_3:  107 | 33330000 00fb3a30 482f73e0 86dd6001 a9e50035 11fffe80
nat_ci_3:  107 | 33330000 00fbde4c 8ec6fb34 86dd6001 d4350035 11fffe80
nat_ci_3:  107 | 33330000 00fbde4c 8ec6fb34 86dd6001 d4350035 11fffe80
nat_ci_3:  107 | 33330000 00fbde4c 8ec6fb34 86dd6001 d4350035 11fffe80
nat_ci_3:  107 | 33330000 00fbde4c 8ec6fb34 86dd6001 d4350035 11fffe80
nat_ci_3:  107 | 33330000 00fbde4c 8ec6fb34 86dd6001 d4350035 11fffe80
nat_ci_3:  107 | 33330000 00fbde4c 8ec6fb34 86dd6001 d4350035 11fffe80
nat_ci_3:  107 | 33330000 00fbc647 55b4e8c5 86dd6000 d14f0035 11fffe80
nat_ci_3:  107 | 33330000 00fbc647 55b4e8c5 86dd6000 d14f0035 11fffe80
nat_ci_3:  107 | 33330000 00fbc647 55b4e8c5 86dd6000 d14f0035 11fffe80
nat_ci_3:  107 | 33330000 00fbc647 55b4e8c5 86dd6000 d14f0035 11fffe80
nat_ci_3:  107 | 33330000 00fbc647 55b4e8c5 86dd6000 d14f0035 11fffe80
nat_ci_3:  107 | 33330000 00fbc647 55b4e8c5 86dd6000 d14f0035 11fffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000001 86dd6000 00000010 3afffe80
nat_ci_3:  107 | 33330000 00fbb2f3 2a49e8b0 86dd600c 76a60035 11fffe80
nat_ci_3:  107 | 33330000 00fbb2f3 2a49e8b0 86dd600c 76a60035 11fffe80
nat_ci_3:  107 | 33330000 00fbb2f3 2a49e8b0 86dd600c 76a60035 11fffe80
nat_ci_3:  107 | 33330000 00fbb2f3 2a49e8b0 86dd600c 76a60035 11fffe80
nat_ci_3:  107 | 33330000 00fbb2f3 2a49e8b0 86dd600c 76a60035 11fffe80
nat_ci_3:  107 | 33330000 00fbb2f3 2a49e8b0 86dd600c 76a60035 11fffe80
nat_ci_3:   70 | 33330000 0002e6ab 5e514646 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
